site_id,name,site_type,parent_location_id,longitude,latitude,coordinate_status,confidence,provisional,historical_claim,notes
geo.site.hulao,虎牢,pass,C027,113.15,34.82,provisional,low,true,false,战略关隘候选范围
geo.site.hangu,函谷关,pass,C028,110.93,34.63,provisional,low,true,false,历史位置沿革需继续核验
geo.site.tongguan,潼关,pass,C031,110.25,34.54,provisional,medium,true,false,战略关隘候选范围
geo.site.wuguan,武关,pass,C038,110.60,33.58,provisional,low,true,false,战略关隘候选范围
geo.site.yangping,阳平关,pass,C065,106.05,32.84,provisional,low,true,false,战略关隘候选范围
geo.site.jiange,剑阁,pass,C076,105.45,32.20,provisional,medium,true,false,战略关隘候选范围
geo.site.chencang,陈仓,pass,C031,107.37,34.36,provisional,medium,true,false,战略交通节点候选范围
geo.site.jiameng,葭萌,pass,C076,105.84,32.43,provisional,low,true,false,战略关隘候选范围
geo.site.fancheng,樊城,fortified_town,C041,112.14,32.05,provisional,medium,true,false,汉水北岸战略节点候选范围
geo.site.xiakou,夏口,port,C042,114.30,30.58,provisional,low,true,false,时期位置沿革需继续核验
geo.site.yiling,夷陵,pass,C043,111.28,30.70,provisional,medium,true,false,峡江战略节点候选范围
geo.site.ruxukou,濡须口,river_fort,C053,117.88,31.43,provisional,low,true,false,长江水道战略节点候选范围
geo.site.chibi,赤壁,battle_site,C045,113.62,29.72,provisional,low,true,false,古战场具体位置存在争议
geo.site.lousang,楼桑乡里,village,L001,116.00,39.50,provisional,low,true,false,仅作涿县周边技术代理点
geo.site.zhuo_horse_market,涿县马市,market,L001,115.98,39.47,provisional,low,true,false,仅作玩法节点
geo.site.zhuo_office,涿县县寺,government,L001,115.97,39.48,provisional,low,true,false,仅作玩法节点
geo.site.fanyang_relay,范阳驿路节点,relay,L001,115.90,39.32,provisional,low,true,false,仅作路线节点
geo.site.yishui_ferry,易水渡口,ferry,L001,115.75,39.10,provisional,low,true,false,仅作路线节点
geo.site.zhongshan_horse_firm,中山马商行,merchant,L004,114.98,38.52,provisional,low,true,false,仅作玩法节点
geo.site.zhongshan_herb_market,中山药材市,market,L004,115.01,38.50,provisional,low,true,false,仅作玩法节点
geo.site.anping_estate,安平宗室庄园,estate,L006,115.55,38.22,provisional,low,true,false,仅作玩法节点
geo.site.taiping_altar,赵魏太平道坛点,secret_organization,L008,115.18,37.02,provisional,low,true,false,仅作广宗外围技术代理点
geo.site.luzhi_camp,卢植军营,military_camp,L008,115.13,37.09,provisional,low,true,false,仅作广宗外围技术代理点
geo.site.guangzong_trench,广宗围壕,battle_facility,L008,115.16,37.06,provisional,low,true,false,仅作玩法节点
geo.site.yellow_turban_camp,黄巾营地,military_camp,L008,115.21,37.04,provisional,low,true,false,仅作玩法节点
geo.site.xiaquyang_river_camp,下曲阳河岸营地,battle_facility,L007,114.69,38.09,provisional,low,true,false,仅作玩法节点
geo.site.julu_granary,钜鹿粮仓,warehouse,L009,115.03,37.22,provisional,low,true,false,郡域代理点
geo.site.yingtao_pass,瘿陶山道出口,pass,L010,114.50,37.30,provisional,low,true,false,仅作玩法节点
geo.site.ye_granary,邺城官仓,warehouse,L011,114.48,36.32,provisional,low,true,false,仅作玩法节点
geo.site.ye_guest_quarter,邺城客舍区,urban_district,L011,114.46,36.34,provisional,low,true,false,仅作玩法节点
geo.site.luoyang_dispatch,洛阳军报站,world_interface,L012,112.60,34.70,provisional,low,true,false,仅作世界出口代理点
