game_location_id,game_location_kind,stable_region_id,admin_unit_id,mapping_status,relation_type,valid_from_year,valid_to_year,source_ids,confidence,provisional,notes
location.zhuo,runtime,geo.region.north.china.hebei.northwestplain.zhuocounty,admin.han140.youzhou.zhuo.zhuo,approximate,runtime_county_identity,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,medium,true,运行时涿县对应140年涿县目录与临时县域约址；不承接整郡人口
location.zhongshan,runtime,geo.region.north.china.hebei.centralwestplain,admin.han140.jizhou.zhongshan,aggregate,runtime_regional_proxy,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,low,true,运行时中山国节点是区域代理；不伪装为卢奴县或单一治所
location.anping,runtime,geo.region.north.china.hebei.centralsoutheastplain,admin.han140.jizhou.anping,aggregate,runtime_regional_proxy,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,low,true,运行时安平国节点是区域代理；不伪装为信都县或单一治所
location.xiaquyang,runtime,geo.region.north.china.hebei.southcentralplain.xiaquyangcounty,admin.han140.jizhou.julu.xiaquyang,approximate,runtime_county_identity,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,low,true,运行时下曲阳对应140年县级目录与临时县域约址；不拆分钜鹿郡人口
location.guangzong,runtime,geo.region.north.china.hebei.southcentralplain.guangzongcounty,admin.han140.jizhou.julu.guangzong,approximate,runtime_county_identity,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,low,true,运行时广宗对应140年县级目录与临时县域约址；不拆分或重复钜鹿郡人口
location.ye,runtime,geo.region.north.china.hebei.southwestzhangheplain.yecounty,admin.han140.jizhou.wei.ye,approximate,runtime_county_identity,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,medium,true,运行时邺县对应140年县级目录与漳河平原约址；不承接整郡人口
L001,prototype_catalog,geo.region.north.china.hebei.northwestplain.zhuocounty,admin.han140.youzhou.zhuo.zhuo,approximate,prototype_catalog_alias,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,medium,true,184年原型目录涿县与location.zhuo共用稳定县级身份
L004,prototype_catalog,geo.region.north.china.hebei.centralwestplain,admin.han140.jizhou.zhongshan,aggregate,prototype_catalog_regional_proxy,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,low,true,184年原型中山国节点与location.zhongshan共用区域代理
L006,prototype_catalog,geo.region.north.china.hebei.centralsoutheastplain,admin.han140.jizhou.anping,aggregate,prototype_catalog_regional_proxy,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,low,true,184年原型安平国节点与location.anping共用区域代理
L007,prototype_catalog,geo.region.north.china.hebei.southcentralplain.xiaquyangcounty,admin.han140.jizhou.julu.xiaquyang,approximate,prototype_catalog_alias,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,low,true,184年原型下曲阳与location.xiaquyang共用稳定县级身份
L008,prototype_catalog,geo.region.north.china.hebei.southcentralplain.guangzongcounty,admin.han140.jizhou.julu.guangzong,approximate,prototype_catalog_alias,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,low,true,184年原型广宗与location.guangzong共用稳定县级身份
L011,prototype_catalog,geo.region.north.china.hebei.southwestzhangheplain.yecounty,admin.han140.jizhou.wei.ye,approximate,prototype_catalog_alias,184,184,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,medium,true,184年原型邺县与location.ye共用稳定县级身份
C009,city_catalog,geo.region.north.china.hebei.southwestzhangheplain.yecounty,admin.han140.jizhou.wei.ye,approximate,city_catalog_alias,,,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,medium,true,77城邺节点与运行时邺县共用稳定县级身份；时期显示和城址细化留待后续
C010,city_catalog,geo.region.north.china.hebei.southcentralplain,admin.han140.jizhou.julu,aggregate,city_catalog_regional_proxy,,,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,low,true,77城钜鹿是郡域级战略节点；不等同于下曲阳或广宗且不重复人口
C012,city_catalog,geo.region.north.china.hebei.centralwestplain,admin.han140.jizhou.zhongshan,aggregate,city_catalog_regional_proxy,,,source.hou_han_shu.jun_guo_zhi|source.project.prototype_location_catalog.v1,low,true,77城中山是郡国级战略节点；不伪装为卢奴县或单一治所
