city_id,longitude,latitude,coordinate_status,confidence,modern_reference,notes
C001,123.17,41.27,approximate,medium,辽阳,襄平古城址范围后续复核
C002,125.75,39.03,approximate,low,平壤附近,乐浪及朝鲜县定位争议保留
C003,118.15,39.83,approximate,low,唐山丰润一带,土垠候选区域
C004,116.40,39.90,approximate,medium,北京蓟城区域,不表示精确城墙位置
C005,112.55,37.87,approximate,medium,太原晋阳区域,晋阳古城范围后续复核
C006,113.21,36.11,approximate,medium,壶关,以上党郡治候选县定位
C007,116.71,38.04,approximate,medium,南皮,县域中心参考
C008,116.43,37.17,approximate,medium,平原,县域中心参考
C009,114.46,36.33,approximate,medium,临漳邺城遗址区域,不表示精确城墙位置
C010,,,unresolved,low,钜鹿郡区域,目录是郡域代理而非唯一县治
C011,115.70,36.85,approximate,low,临清一带,甘陵候选区域
C012,114.99,38.52,approximate,medium,定州卢奴区域,中山国节点候选
C013,118.84,35.58,approximate,low,莒县一带,城阳国治沿革待核
C014,,,unresolved,low,潍坊中部,北海治所沿革待核
C015,117.53,36.72,approximate,medium,章丘东平陵区域,不表示精确城址
C016,116.73,36.56,approximate,low,长清卢县区域,济北节点候选
C017,118.35,35.05,approximate,medium,临沂开阳区域,不表示精确城址
C018,115.03,35.76,approximate,medium,濮阳,县域中心参考
C019,114.34,34.72,approximate,medium,开封陈留镇区域,不表示精确城址
C020,116.93,34.73,approximate,medium,沛县,县域中心参考
C021,118.02,34.31,approximate,medium,睢宁古下邳区域,不表示现代县城等同古城
C022,119.42,32.39,approximate,medium,扬州广陵区域,治所范围后续复核
C023,114.88,33.73,approximate,medium,淮阳陈县区域,县域中心参考
C024,115.78,33.87,approximate,medium,亳州谯县区域,县域中心参考
C025,113.85,34.04,approximate,medium,许昌许县区域,时期城址后续复核
C026,114.64,32.96,approximate,medium,平舆,汝南郡治候选
C027,112.45,34.62,approximate,medium,洛阳汉魏故城区域,不表示精确宫城位置
C028,110.87,34.52,approximate,medium,灵宝弘农区域,县域中心参考
C029,113.40,35.10,approximate,low,武陟怀县区域,河内郡治候选
C030,111.22,35.14,approximate,medium,夏县安邑区域,不表示精确城址
C031,108.94,34.27,approximate,medium,西安长安区域,汉长安城位置后续细分
C032,107.20,35.68,approximate,low,镇原临泾区域,安定郡治候选
C033,105.34,34.75,approximate,medium,甘谷冀县区域,县域中心参考
C034,102.80,36.33,approximate,low,民和允吾区域,金城郡治候选
C035,101.78,36.62,approximate,low,西宁区域,西都县候选
C036,102.64,37.93,approximate,medium,武威姑臧区域,县域中心参考
C037,105.73,33.74,approximate,medium,成县下辨区域,下辨下弁异名保留
C038,112.53,32.99,approximate,medium,南阳宛城区域,不表示精确城墙位置
C039,110.23,32.23,approximate,low,竹山上庸区域,上庸西城沿革待核
C040,112.36,32.52,approximate,medium,新野,县域中心参考
C041,112.14,32.04,approximate,medium,襄阳,汉代城址范围后续复核
C042,,,unresolved,low,武汉江夏区域,郡治迁移不固定为唯一古城
C043,112.42,30.35,approximate,medium,荆州江陵区域,不表示精确城墙位置
C044,112.23,30.06,approximate,medium,公安,县域中心参考
C045,114.89,30.40,approximate,medium,鄂州,鄂县武昌时期名称分离保存
C046,111.70,29.03,approximate,medium,常德临沅区域,县域中心参考
C047,112.94,28.23,approximate,medium,长沙临湘区域,不表示精确城址
C048,113.01,25.77,approximate,medium,郴州郴县区域,县域中心参考
C049,111.61,26.43,approximate,medium,永州泉陵区域,县域中心参考
C050,115.99,29.72,approximate,medium,九江柴桑区域,湖岸与古河道待核
C051,115.86,28.68,approximate,medium,南昌,豫章郡治候选
C052,116.79,32.58,approximate,medium,寿县寿春区域,不表示精确城墙位置
C053,117.23,31.82,approximate,medium,合肥,县域中心参考
C054,,,unresolved,low,庐江郡区域,郡治沿革不固定为唯一坐标
C055,116.58,30.63,approximate,medium,潜山皖县区域,与宛城严格区分
C056,118.80,32.06,approximate,medium,南京建业区域,时期名称与城址后续细分
C057,120.59,31.30,approximate,medium,苏州吴县区域,不表示精确城墙位置
C058,120.58,30.00,approximate,medium,绍兴山阴区域,会稽治所候选
C059,116.67,29.00,approximate,medium,鄱阳,湖岸变化后续复核
C060,114.99,27.12,approximate,medium,吉安庐陵区域,县域中心参考
C061,118.32,27.04,approximate,medium,建瓯建安区域,县域中心参考
C062,113.26,23.13,approximate,medium,广州番禺区域,古海岸与城址待核
C063,109.20,21.66,approximate,medium,合浦,古海岸变化待核
C064,105.85,21.03,approximate,medium,河内龙编区域,跨现代国界参考
C065,106.93,33.00,approximate,medium,汉中南郑区域,县域中心参考
C066,105.16,31.64,approximate,medium,梓潼,县域中心参考
C067,104.07,30.67,approximate,medium,成都,秦汉城址范围后续复核
C068,106.55,29.56,approximate,medium,重庆江州区域,两江岸线后续复核
C069,109.46,31.02,approximate,medium,奉节鱼复区域,三峡水库前地形须用历史参考修订
C070,99.17,25.12,approximate,low,保山不韦区域,永昌节点候选
C071,103.80,25.49,approximate,medium,曲靖味县区域,建宁郡治候选
C072,100.56,25.48,approximate,low,祥云云南县区域,设置年代和治所后续复核
C073,,,unresolved,low,黔南牂牁区域,故且兰治所候选未定
C074,102.27,27.90,approximate,medium,西昌邛都区域,县域中心参考
C075,103.72,27.34,approximate,medium,昭通朱提区域,县域中心参考
C076,104.74,31.47,approximate,medium,绵阳涪县区域,与梓潼独立
C077,109.03,32.69,approximate,medium,安康西城区域,与上庸独立
