route_id,start_location_id,end_location_id,name,estimated_km,route_type,confidence,provisional,historical_claim
R001,L002,L001,蓟县—涿县,80,imperial_road,medium,true,false
R002,L001,L005,涿县—博陵节点,95,relay_road,low,true,false
R003,L001,L004,涿县—中山国节点,140,trade_road,low,true,false
R004,L005,L004,博陵—中山国节点,65,regional_road,low,true,false
R005,L004,L006,中山—安平节点,90,trade_road,low,true,false
R006,L006,L007,安平—下曲阳,80,supply_road,low,true,false
R007,L007,L008,下曲阳—广宗,150,war_road,low,true,false
R008,L006,L008,安平—广宗,170,supply_road,low,true,false
R009,L008,L009,广宗—钜鹿郡治节点,55,regional_road,low,true,false
R010,L008,L010,广宗—瘿陶,70,regional_road,low,true,false
R011,L008,L011,广宗—邺县,110,supply_road,low,true,false
R012,L011,L012,邺县—洛阳出口,190,trunk_direction,low,true,false
geo.route.luoyang_chenliu,C027,C019,洛阳—陈留,210,national_corridor,low,true,false
geo.route.luoyang_changan,C027,C031,洛阳—长安,370,national_corridor,low,true,false
geo.route.hebei_zhongyuan,C012,C025,河北—中原,430,national_corridor,low,true,false
geo.route.xiangyang_jiangling,C041,C043,襄阳—江陵,220,national_corridor,low,true,false
geo.route.hanzhong_jiange_chengdu,C065,C066,汉中—剑阁—成都,450,national_corridor,low,true,false
geo.route.huainan_jiangdong,C052,C056,淮南—江东,260,national_corridor,low,true,false
